Ax,Ay,Az
-6944,4489,-3015
3482,-11608,14745
2981,9535,-768
-6953,367,-91
5173,-9990,14572
863,11600,-3512
-5973,12119,3378
6374,-5679,13308
-1608,-5325,-5400
-4414,12184,6846
6988,-8874,10883
-3823,-1459,-6113
-2414,10673,10133
6705,-11206,11473
-5386,2620,6124
-147,8103,-5093
5609,-12123,13618
-6498,6489,2593
2298,4514,-3081
3893,-11700,14660
-7058,9550,-752
-6903,411,-168
5183,-9959,14544
840,11708,-3525
-5958,-3699,3284
6359,-7107,13215
-1641,12312,-5440
-4386,-7496,6831
6950,-3370,10912
-3820,11649,-6176
-2445,-10182,10076
6734,635,7738
-5350,9494,-5647
-134,-11859,12670
5563,4616,4377
-6475,6462,-4200
2278,4540,14315
3934,-11727,932
-7007,9531,-1699
4359,482,14778
2023,-10053,-2137
-6536,11546,1518
5849,-3665,3274
-320,-7055,13250
-5233,12302,-5481
6776,-7473,6836
-2779,-3409,10935
-3812,11655,-6202
-2496,-10317,10024
6800,615,7886
-5352,9637,-5767
-208,-11889,12545
5679,4467,4344
-6450,6435,-4223
2285,-12135,14275
3925,8073,934
-7038,2559,-1743
